instance,algorithm,cost,permutation
bur26f,STEEPEST,3803065,15 6 4 2 18 0 1 9 17 23 24 3 22 14 16 20 21 13 11 12 10 19 8 25 5 7
bur26f,STEEPEST,3820935,12 25 0 14 18 3 23 5 9 24 8 20 1 16 17 6 21 11 4 13 10 22 19 7 15 2
bur26f,STEEPEST,3795179,2 22 25 9 12 7 5 4 10 19 14 8 15 13 21 24 23 18 16 17 11 6 3 20 0 1
bur26f,STEEPEST,3782725,7 22 14 2 17 21 3 8 16 6 24 10 1 19 9 4 20 11 13 12 18 23 5 0 25 15
bur26f,STEEPEST,3818619,12 4 6 0 11 25 23 22 18 14 21 7 5 16 2 15 20 17 13 10 9 24 1 3 8 19
bur26f,STEEPEST,3819626,12 15 23 4 17 19 20 9 8 25 24 22 3 16 11 5 2 13 14 10 18 0 7 1 6 21
bur26f,STEEPEST,3792125,8 25 4 14 18 23 1 15 17 21 6 2 22 16 9 20 3 12 11 13 10 0 24 5 7 19
bur26f,STEEPEST,3807043,17 24 1 9 18 3 20 15 10 23 25 21 14 2 7 4 8 12 11 13 16 22 6 0 19 5
bur26f,STEEPEST,3797219,14 4 8 6 11 25 3 2 10 0 20 7 15 9 13 24 22 17 18 16 12 5 1 23 19 21
bur26f,STEEPEST,3799888,7 0 11 4 18 19 1 24 15 9 6 23 2 14 17 20 22 13 12 10 16 21 8 3 25 5
bur26f,STEEPEST,3807956,1 4 17 7 11 8 19 14 12 21 3 25 24 15 20 9 0 16 10 18 13 6 23 5 2 22
bur26f,STEEPEST,3783132,8 3 13 22 18 0 23 7 16 5 15 1 14 20 9 4 21 11 12 10 17 19 6 2 24 25
bur26f,STEEPEST,3803717,8 9 14 2 17 21 3 25 16 5 7 1 20 19 18 4 23 11 13 12 10 22 15 24 0 6
bur26f,STEEPEST,3844613,13 5 15 25 17 0 24 4 18 21 3 20 2 11 14 6 23 12 16 10 9 19 7 1 8 22
bur26f,STEEPEST,3783302,15 2 12 1 16 20 3 9 17 7 24 19 4 0 6 21 22 10 13 11 18 23 25 14 8 5
bur26f,STEEPEST,3798836,14 4 8 5 12 7 22 1 10 19 3 25 6 15 13 9 21 16 18 17 11 24 2 23 0 20
bur26f,STEEPEST,3782718,8 14 3 20 18 1 23 7 16 25 24 12 0 21 9 4 19 10 13 11 17 22 6 2 15 5
bur26f,STEEPEST,3796800,2 19 6 7 11 25 4 0 13 23 20 8 5 9 12 15 22 18 16 17 10 24 1 21 3 14
bur26f,STEEPEST,3783337,7 2 11 4 17 21 1 8 16 5 15 22 0 14 9 20 23 13 10 12 18 19 6 3 25 24
bur26f,STEEPEST,3783099,15 1 3 19 16 20 23 8 17 9 6 10 14 21 25 4 0 12 13 11 18 22 5 2 7 24
bur26f,STEEPEST,3807619,18 6 0 9 17 21 2 25 11 1 24 22 23 14 8 19 7 13 10 12 16 4 15 3 20 5
bur26f,STEEPEST,3797614,14 0 8 25 13 6 7 4 12 2 22 15 24 10 3 9 23 18 17 16 11 5 20 19 21 1
bur26f,STEEPEST,3803440,15 24 20 19 17 0 2 9 18 23 6 14 22 4 16 1 3 13 11 10 12 21 7 5 25 8
bur26f,STEEPEST,3814003,17 3 25 5 12 22 19 1 10 0 21 15 6 13 18 14 7 11 9 16 4 24 2 8 23 20
bur26f,STEEPEST,3821952,16 14 2 9 18 23 21 6 11 20 5 7 19 17 15 1 25 10 12 13 4 3 8 24 22 0
